X,Y,objectid,codcomm,shape_leng,x,y,denom,adr,com_ad,cp,com,telephone,ouverture,email,gdb_geomattr_data,icon_url,auxiliary_storage_labeling_positionx,auxiliary_storage_labeling_positiony
2.62351481610259,48.8814607602864,1,"770055",106.36029019,1672389.00000000,8186887.00000000,Médiathèque Le Kiosque,Place du 8 Mai 1945 77177 Brou-sur-Chantereine, ,77177.00000000,BROU-SUR-CHANTEREINE,01 72 84 62 80,https://media-nord.agglo-pvm.fr/accueil/brou-kiosque,bibliotheque.brou@agglo-pvm.fr,,./0.png,1675151.5085023,8188291.43682887
2.58534899935485,48.8510970000327,2,"770083",139.75583989,1669586.00000000,8183514.00000000,Médiathèque du Ru de Nesles,"15, Avenue des Pyramides 77420 Champs-sur-Marne", ,77420.00000000,CHAMPS-SUR-MARNE,01 60 05 60 55,http://rm.valmaubuee.fr/index.php?option=com_content&view=article&id=35&Itemid=35,mediatheque-rn@agglo-pvm.fr,,./0.png,1667559.33120099,8183525.68513424
2.59547599985922,48.8776299997341,3,"770108",282.34776020,1670339.00000000,8186453.00000000,Médiathèque Jean-Pierre-Vernant,"9, Place des Martyrs de Châteaubriant 77500 Chelles", ,77500.00000000,CHELLES,01 72 84 62 96,https://media-nord.agglo-pvm.fr/chelles-mediatheque,bibliotheque.chelles@agglo-pvm.fr,,./0.png,1666948.96317408,8186275.89006247
2.60714299945248,48.8858099995504,4,"770108",234.51768527,1671212.00000000,8187453.00000000,Médiathèque Olympe-de-Gouges,"90 Avenue de Claye, 77500 Chelles", ,77500.00000000,CHELLES,01 72 84 62 74,https://media-nord.agglo-pvm.fr/opac?id_profil=15,bibliotheque.chelles@agglo-pvm.fr,,./0.png,1668274.02695451,8188484.59725868
2.6021843071087,48.9178670335837,5,"770139",116.80690651,1670850.00000000,8190937.00000000,Médiathèque Simone-Veil,1 Place de l'Abîme 77181 Courtry, ,77181.00000000,COURTRY,01 72 84 62 15,https://media-nord.agglo-pvm.fr/accueil/courtry,bibliotheque.courtry@agglo-pvm.fr,,./0.png,1672012.53676192,8190311.9942927
2.6453226677325,48.8268880516066,6,"770146",73.05265393,1673960.00000000,8180811.00000000,Médiathèque George-Sand,"1, Rue du Chenil 77183 Croissy-Beaubourg",Ferme du Pas-de-la-Mule,77183.00000000,CROISSY-BEAUBOURG,,,mediatheque-gs@agglo-pvm.fr,,./0.png,1676543.57731113,8179560.33564746
2.62450095146388,48.8099688008645,7,"770169",145.62166849,1672422.00000000,8178937.00000000,Médiathèque d’Emery Raphaël-Cuevas,Rue Louise-Michel 77184 Emerainville, ,77184.00000000,EMERAINVILLE,,,mediatheque-em@agglo-pvm.fr,,./0.png,1668861.91111104,8179390.18786469
2.64981778467942,48.8385389083704,8,"770258",112.73989068,1674296.00000000,8182105.00000000,Médiathèque du Segrais,"1, Boulevard Camille-Saint-Saëns 77185 Lognes", ,77185.00000000,LOGNES,01 60 37 78 90,,mediatheque-seg@agglo-pvm.fr,,./0.png,1675546.12847664,8181652.32699967
2.62365500005531,48.8439979999577,9,"770337",792.27226478,1672414.00000000,8182702.00000000,Médiathèque de la Ferme du Buisson,1 Allée de la Ferme 77186 Noisiel, ,77186.00000000,NOISIEL,01 60 37 78 80,http://rm.valmaubuee.fr/index.php?option=com_content&view=article&id=33&Itemid=33,mediatheque-fb@agglo-pvm.fr,,./0.png,1675391.08661165,8183137.40750835
2.59909853037099,48.7822382092083,10,"770373",243.03629734,1670530.00000000,8175838.00000000,Médiathèque Pierre-Thiriot,"17, Rue Saint-Clair 77340 Pontault-Combault",Centre culturel Les Passerelles,77340.00000000,PONTAULT-COMBAULT,01 60 37 29 62,,mediatheque.pontault@agglo-pvm.fr,,./0.png,1668599.30344553,8176298.04635606
2.60766292835651,48.8006316180735,11,"770373",238.38448179,1671180.00000000,8177905.00000000,Médiathèque François-Mitterrand,"107, Avenue de la République 77340 Pontault-Combault", ,77340.00000000,PONTAULT-COMBAULT,,,mediatheque.pontault@agglo-pvm.fr,,./0.png,1668227.02603282,8177804.40898554
2.64926512439338,48.7929241001991,12,"770390",127.96779461,1674232.00000000,8177033.00000000,Médiathèque Aimé-Césaire,Avenue Maurice de Vlaminck 77680 Roissy-en-Brie,Pôle culturel de la Ferme d’Ayau,77680.00000000,ROISSY-EN-BRIE,01 60 37 29 45,,mediatheque.roissy@agglo-pvm.fr,,./0.png,1676542.03502096,8177348.14530661
2.63585572243821,48.8511075966564,13,"770468",232.77184518,1673287.00000000,8183509.00000000,Médiathèque de l’Arche Guédon,"7, Place des Rencontres 77200 Torcy", ,77200.00000000,TORCY,01 60 37 78 82,,mediatheque-ag@agglo-pvm.fr,,./0.png,1675683.10672437,8184114.22424066
2.63758299977701,48.8732800002315,14,"770479",91.09233544,1673413.00000000,8185964.00000000,Médiathèque Jean-Sterlin,"31-33, Avenue Jean Jaurès 77360 Vaires-sur-Marne",Centre des Arts et Loisirs,77360.00000000,VAIRES-SUR-MARNE,01 72 84 62 60,https://media-nord.agglo-pvm.fr/accueil/vaires-bib,bibliotheque.vaires@agglo-pvm.fr,,./0.png,1675107.18342572,8186442.30442724
